Date,Open,High,Low,Close,Volume,,
27/03/2007,17.708,17.708,17.199,17.267,481929,,
28/03/2007,17.149,17.229,17.002,17.041,646296,,
29/03/2007,17.189,17.335,16.962,17.139,340807,,
30/03/2007,17.09,17.306,17.06,17.297,376738,,
02/04/2007,17.297,17.335,17.011,17.159,344782,,
03/04/2007,17.159,17.316,17.11,17.179,263136,,
04/04/2007,17.139,17.199,17.002,17.021,325669,,
05/04/2007,17.021,17.12,16.952,17.021,184241,,
09/04/2007,17.051,17.09,16.824,17.041,318488,,
10/04/2007,17.07,17.444,16.882,17.414,417716,,
11/04/2007,17.414,18.051,17.189,17.259,878393,,
12/04/2007,17.267,17.355,16.952,17.11,373681,,
13/04/2007,17.07,17.297,16.882,17.297,540032,,
16/04/2007,17.395,17.559,17.297,17.52,220173,,
17/04/2007,17.502,17.668,17.375,17.569,188218,,
18/04/2007,17.659,17.688,17.414,17.569,279343,,
